Step,x,y,theta,delta_x,time,Time step
0,83.89,84,6.28,0,0,0.01
1,83.89,84,6.28,0,0.01,0.01
2,84.25,84,6.28,0.36,0.02,0.01
3,85.47,84,6.28,1.22,0.03,0.01
4,86.92,84,6.28,1.45,0.04,0.01
5,88,83.99,6.28,1.08,0.05,0.01
6,88.48,83.99,6.28,0.48,0.06,0.01
7,89.28,83.99,6.28,0.8,0.07,0.01
8,90.5,83.99,6.28,1.22,0.08,0.01
9,91.67,83.99,6.28,1.17,0.09,0.01
10,92.73,83.99,6.28,1.06,0.1,0.01
11,93.7,83.98,6.28,0.97,0.11,0.01
12,94.48,83.98,6.28,0.78,0.12,0.01
13,95.37,83.97,6.28,0.89,0.13,0.01
14,96.43,83.97,6.28,1.06,0.14,0.01
15,97.59,83.97,0,1.16,0.15,0.01
16,98.59,83.97,0,1,0.16,0.01
17,99.37,83.97,0,0.78,0.17,0.01
18,100.29,83.97,0,0.92,0.18,0.01
19,101.37,83.97,0,1.08,0.19,0.01
20,102.37,83.97,0,1,0.2,0.01
21,103.35,83.97,0,0.98,0.21,0.01
22,104.26,83.98,0,0.91,0.22,0.01
23,105.21,83.98,0,0.95,0.23,0.01
24,106.18,83.98,0,0.97,0.24,0.01
25,107.13,83.98,0,0.95,0.25,0.01
26,108.04,83.98,0,0.91,0.26,0.01
27,108.91,83.98,6.28,0.87,0.27,0.01
28,109.88,83.98,6.28,0.97,0.28,0.01
29,110.99,83.98,0,1.11,0.29,0.01
30,112.05,83.98,0,1.06,0.3,0.01
31,113.05,83.98,0,1,0.31,0.01
32,113.99,83.99,0,0.94,0.32,0.01
33,114.97,83.99,0,0.98,0.33,0.01
34,115.91,83.99,0,0.94,0.34,0.01
35,116.94,84,0,1.03,0.35,0.01
36,117.94,84,0,1,0.36,0.01
37,118.91,84,0,0.97,0.37,0.01
38,119.8,84,0,0.89,0.38,0.01
39,120.8,84.01,0,1,0.39,0.01
40,121.89,84.01,0,1.09,0.4,0.01
41,122.94,84.01,0,1.05,0.41,0.01
42,123.89,84.02,0,0.95,0.42,0.01
43,124.81,84.02,0,0.92,0.43,0.01
44,125.69,84.02,0.01,0.88,0.44,0.01
45,126.78,84.03,0.01,1.09,0.45,0.01
46,127.92,84.03,0,1.14,0.46,0.01
47,128.92,84.04,0,1,0.47,0.01
48,129.89,84.04,0,0.97,0.48,0.01
49,130.89,84.04,0,1,0.49,0.01
50,131.75,84.04,0,0.86,0.5,0.01
51,132.81,84.04,0,1.06,0.51,0.01
52,133.87,84.04,0,1.06,0.52,0.01
53,134.9,84.04,0,1.03,0.53,0.01
54,135.87,84.05,0,0.97,0.54,0.01
55,136.81,84.05,0,0.94,0.55,0.01
56,137.84,84.05,0,1.03,0.56,0.01
57,138.76,84.05,0,0.92,0.57,0.01
58,139.79,84.05,0,1.03,0.58,0.01
59,140.82,84.05,0,1.03,0.59,0.01
60,141.87,84.06,0,1.05,0.6,0.01
61,142.79,84.06,0,0.92,0.61,0.01
62,143.79,84.06,0,1,0.62,0.01
63,144.85,84.07,0,1.06,0.63,0.01
64,145.87,84.07,0.01,1.02,0.64,0.01
65,146.82,84.08,0.01,0.95,0.65,0.01
66,147.82,84.08,0.01,1,0.66,0.01
67,148.9,84.09,0,1.08,0.67,0.01
68,149.85,84.09,0,0.95,0.68,0.01
69,150.79,84.1,0.01,0.94,0.69,0.01
70,151.82,84.1,0,1.03,0.7,0.01
71,152.88,84.1,6.28,1.06,0.71,0.01
72,153.96,84.1,6.28,1.08,0.72,0.01
73,154.96,84.1,6.28,1,0.73,0.01
74,155.91,84.1,6.28,0.95,0.74,0.01
75,156.83,84.09,6.28,0.92,0.75,0.01
76,157.83,84.09,6.28,1,0.76,0.01
77,158.86,84.09,6.28,1.03,0.77,0.01
78,159.86,84.09,6.28,1,0.78,0.01
79,160.77,84.09,6.28,0.91,0.79,0.01
80,161.69,84.09,6.28,0.92,0.8,0.01
81,162.75,84.08,6.28,1.06,0.81,0.01
82,163.78,84.08,6.28,1.03,0.82,0.01
83,164.8,84.08,6.28,1.02,0.83,0.01
84,165.81,84.08,6.28,1.01,0.84,0.01
85,166.72,84.08,6.28,0.91,0.85,0.01
86,167.75,84.08,6.28,1.03,0.86,0.01
87,168.75,84.07,6.28,1,0.87,0.01
88,169.72,84.07,6.28,0.97,0.88,0.01
89,170.67,84.07,6.28,0.95,0.89,0.01
90,171.61,84.07,6.28,0.94,0.9,0.01
91,172.67,84.07,6.28,1.06,0.91,0.01
92,173.67,84.07,6.28,1,0.92,0.01
93,174.59,84.06,6.28,0.92,0.93,0.01
94,175.56,84.06,6.28,0.97,0.94,0.01
95,176.56,84.06,6.28,1,0.95,0.01
96,177.56,84.06,6.28,1,0.96,0.01
97,178.59,84.05,6.28,1.03,0.97,0.01
98,179.56,84.05,6.28,0.97,0.98,0.01
99,180.54,84.05,6.28,0.98,0.99,0.01
100,181.57,84.05,6.28,1.03,1,0.01
101,182.46,84.04,6.28,0.89,1.01,0.01
102,183.48,84.04,6.28,1.02,1.02,0.01
103,184.54,84.03,6.28,1.06,1.03,0.01
104,185.6,84.03,6.28,1.06,1.04,0.01
105,186.51,84.03,6.28,0.91,1.05,0.01
106,187.49,84.02,6.28,0.98,1.06,0.01
107,188.51,84.02,6.28,1.02,1.07,0.01
108,189.57,84.02,6.28,1.06,1.08,0.01
109,190.49,84.01,6.28,0.92,1.09,0.01
110,191.43,84.01,6.28,0.94,1.1,0.01
111,192.43,84.01,6.28,1,1.11,0.01
112,193.52,84,6.28,1.09,1.12,0.01
113,194.52,84,6.28,1,1.13,0.01
114,195.49,84,6.28,0.97,1.14,0.01
115,196.49,83.99,6.28,1,1.15,0.01
116,197.52,83.99,6.28,1.03,1.16,0.01
117,198.52,83.99,6.28,1,1.17,0.01
118,199.49,83.98,6.28,0.97,1.18,0.01
119,200.49,83.98,6.28,1,1.19,0.01
120,201.5,83.98,6.28,1.01,1.2,0.01
121,202.55,83.98,6.28,1.05,1.21,0.01
122,203.52,83.97,6.28,0.97,1.22,0.01
123,204.5,83.97,6.28,0.98,1.23,0.01
124,205.47,83.97,6.28,0.97,1.24,0.01
125,206.42,83.97,6.28,0.95,1.25,0.01
126,207.5,83.96,6.28,1.08,1.26,0.01
127,208.56,83.96,6.28,1.06,1.27,0.01
128,209.45,83.96,6.28,0.89,1.28,0.01
129,210.36,83.95,6.28,0.91,1.29,0.01
130,211.36,83.95,6.28,1,1.3,0.01
131,212.45,83.94,6.28,1.09,1.31,0.01
132,213.56,83.94,6.28,1.11,1.32,0.01
133,214.62,83.94,6.28,1.06,1.33,0.01
134,215.62,83.94,0,1,1.34,0.01
135,216.62,83.94,6.28,1,1.35,0.01
136,217.59,83.94,6.28,0.97,1.36,0.01
137,218.56,83.94,6.28,0.97,1.37,0.01
138,219.48,83.93,6.28,0.92,1.38,0.01
139,220.54,83.93,6.28,1.06,1.39,0.01
140,221.59,83.93,0,1.05,1.4,0.01
141,222.59,83.93,0,1,1.41,0.01
142,223.57,83.93,0,0.98,1.42,0.01
143,224.57,83.93,6.28,1,1.43,0.01
144,225.57,83.93,6.28,1,1.44,0.01
145,226.57,83.93,0,1,1.45,0.01
146,227.6,83.93,0,1.03,1.46,0.01
147,228.54,83.93,0,0.94,1.47,0.01
148,229.51,83.93,0,0.97,1.48,0.01
149,230.54,83.93,0,1.03,1.49,0.01
150,231.54,83.93,0,1,1.5,0.01
151,232.49,83.93,0,0.95,1.51,0.01
152,233.49,83.93,0,1,1.52,0.01
153,234.52,83.93,0,1.03,1.53,0.01
154,235.49,83.93,0,0.97,1.54,0.01
155,236.49,83.93,0,1,1.55,0.01
156,237.52,83.93,6.28,1.03,1.56,0.01
157,238.52,83.93,0,1,1.57,0.01
158,239.49,83.93,0,0.97,1.58,0.01
159,240.47,83.93,6.28,0.98,1.59,0.01
160,241.52,83.93,6.28,1.05,1.6,0.01
161,242.5,83.93,0,0.98,1.61,0.01
162,243.44,83.93,0,0.94,1.62,0.01
163,244.44,83.93,0,1,1.63,0.01
164,245.41,83.93,0,0.97,1.64,0.01
165,246.39,83.93,0,0.98,1.65,0.01
166,247.22,83.93,6.28,0.83,1.66,0.01
167,248,83.93,6.28,0.78,1.67,0.01
168,248.81,83.93,0,0.81,1.68,0.01
169,249.61,83.93,0,0.8,1.69,0.01
170,250.33,83.93,0,0.72,1.7,0.01
171,251,83.93,0,0.67,1.71,0.01
172,251.56,83.93,0,0.56,1.72,0.01
173,252.11,83.94,0,0.55,1.73,0.01
174,252.72,83.94,0,0.61,1.74,0.01
175,253.28,83.94,0,0.56,1.75,0.01
176,253.75,83.94,0,0.47,1.76,0.01
177,253.95,83.94,0,0.2,1.77,0.01
178,253.89,83.94,0,-0.06,1.78,0.01
179,253.92,83.94,0,0.03,1.79,0.01
180,253.98,83.94,0,0.06,1.8,0.01
181,253.98,83.94,0,0,1.81,0.01
182,253.98,83.94,0,0,1.82,0.01
183,253.98,83.94,0,0,1.83,0.01
184,253.98,83.94,0,0,1.84,0.01
185,253.98,83.94,0,0,1.85,0.01
186,253.98,83.94,0,0,1.86,0.01
187,253.98,83.94,0,0,1.87,0.01
188,253.98,83.94,0,0,1.88,0.01
189,253.98,83.94,0,0,1.89,0.01
